title,year,role,name
Mary and Max,2009,star,Philip Seymour Hoffman
Season of the Witch (2011 film),2011,star,Nicolas Cage
XXL (film),1997,star,Gérard Depardieu
XXL (film),1997,cast,Emmanuelle Riva
The Dark Wave,1956,cast,Charles Bickford
The Dark Wave,1956,director,Jean Negulesco
Night Unto Night,1949,star,Broderick Crawford
The Abdication,1974,star,Peter Finch
The Abdication,1974,star,Liv Ullmann
The Abdication,1974,director,Anthony Harvey
Something to Hide,1972,star,Peter Finch
Something to Hide,1972,star,Shelley Winters
The Book of Eli,2010,star,Denzel Washington
The Book of Eli,2010,star,Gary Oldman
Rosie!,1967,star,Rosalind Russell
Rosie!,1967,star,Brian Aherne
Rosie!,1967,cast,Juanita Moore
Cradle of Genius,1961,cast,Barry Fitzgerald
Until They Sail,1957,star,Jean Simmons
Until They Sail,1957,star,Joan Fontaine
Until They Sail,1957,star,Paul Newman
Until They Sail,1957,star,Piper Laurie
Until They Sail,1957,director,Robert Wise
Drag Me to Hell,2009,star,David Paymer
Drag Me to Hell,2009,star,Adriana Barraza
Drag Me to Hell,2009,cast,Octavia Spencer
"So Young, So Bad",1950,cast,Rita Moreno
Undertow (1949 film),1949,cast,Rock Hudson
The Tempest (2010 film),2010,star,Helen Mirren
The Tempest (2010 film),2010,star,Tom Conti
The Tempest (2010 film),2010,star,Chris Cooper
The Tempest (2010 film),2010,star,Djimon Hounsou
The Tempest (2010 film),2010,star,Felicity Jones
The Tempest (2010 film),2010,star,David Strathairn
Lafayette Escadrille (film),1958,cast,Clint Eastwood
Lafayette Escadrille (film),1958,director,William A. Wellman
Our Lady of the Assassins (film),2000,director,Barbet Schroeder
Perrier's Bounty,2009,star,Jim Broadbent
The Eternal City (1923 film),1923,star,Lionel Barrymore
The Eternal City (1923 film),1923,cast,Ronald Colman
Traveling Hopefully,1982,director,John G. Avildsen
Skin (2008 film),2008,star,Sophie Okonedo
The Real Thing at Last,1916,star,Edmund Gwenn
The Real Thing at Last,1916,cast,Gladys Cooper
Polytechnique (film),2009,director,Denis Villeneuve
"Martin Luther, Heretic",1983,star,Jonathan Pryce
Smilin' Through (1941 film),1941,star,Brian Aherne
Smilin' Through (1941 film),1941,director,Frank Borzage
Smilin' Through (1922 film),1922,cast,Gene Lockhart
Smilin' Through (1932 film),1932,star,Norma Shearer
Smilin' Through (1932 film),1932,star,Fredric March
The Constant Nymph (1928 film),1928,cast,Elsa Lanchester
Wind Across the Everglades,1958,star,Burl Ives
Wind Across the Everglades,1958,star,Christopher Plummer
Wind Across the Everglades,1958,cast,Peter Falk
Gardens of the Night,2008,star,John Malkovich
The Wild Bunch: An Album in Montage,1996,cast,Edmond O'Brien
The Wild Bunch: An Album in Montage,1996,cast,Ernest Borgnine
The Wild Bunch: An Album in Montage,1996,cast,Ed Harris
Rudolph the Red-Nosed Reindeer: The Movie,1998,star,Whoopi Goldberg
Rudolph the Red-Nosed Reindeer: The Movie,1998,star,Debbie Reynolds
Megamind,2010,star,Jonah Hill
Megamind,2010,star,Brad Pitt
The Man on Lincoln's Nose,2000,cast,Norman Jewison
Thunder Birds (1942 film),1942,star,Gene Tierney
Thunder Birds (1942 film),1942,star,Dame May Whitty
Thunder Birds (1942 film),1942,director,William A. Wellman
Satan Never Sleeps,1962,star,William Holden
Satan Never Sleeps,1962,star,Clifton Webb
Satan Never Sleeps,1962,director,Leo McCarey
Zig Zag (1970 film),1970,star,George Kennedy
Deadly Circuit,1983,star,Isabelle Adjani
American Buffalo (film),1996,star,Dustin Hoffman
Magnificent Brute,1936,star,Victor McLaglen
Winterset (film),1936,star,Burgess Meredith
Winterset (film),1936,cast,Mischa Auer
Last Summer in the Hamptons,1995,star,Melissa Leo
Two Knights from Brooklyn,1949,star,William Bendix
The Burial Society,2002,star,David Paymer
The Burial Society,2002,star,Seymour Cassel
After Sex (2000 film),2000,star,Virginia Madsen
Cass (2008 film),2008,cast,Daniel Kaluuya
$9.99,2008,star,Geoffrey Rush
Not Easily Broken,2009,star,Taraji P. Henson
Captain Fury,1939,star,Brian Aherne
Captain Fury,1939,cast,Victor McLaglen
Captain Fury,1939,cast,Paul Lukas
The Boss' Wife,1986,star,Christopher Plummer
Heaven's Burning,1997,star,Russell Crowe
Last Chance Harvey,2008,star,Dustin Hoffman
Last Chance Harvey,2008,star,Emma Thompson
Strange Evidence,1933,cast,Merle Oberon
The Story of Alexander Graham Bell,1939,star,Don Ameche
The Story of Alexander Graham Bell,1939,star,Loretta Young
The Story of Alexander Graham Bell,1939,star,Henry Fonda
The Story of Alexander Graham Bell,1939,cast,Charles Coburn
The Story of Alexander Graham Bell,1939,cast,Gene Lockhart
The Story of Alexander Graham Bell,1939,cast,Spring Byington
The Story of Alexander Graham Bell,1939,director,Irving Cummings
Man of Conquest,1939,cast,Joan Fontaine
La Cucaracha (1998 film),1998,star,Eric Roberts
The Twilight Saga: New Moon,2009,star,Anna Kendrick
Personal Effects (2008 film),2008,star,Michelle Pfeiffer
Personal Effects (2008 film),2008,star,Kathy Bates
"My Son, My Son!",1940,cast,Brian Aherne
Blood on the Arrow,1964,star,Martha Hyer
The Ace of Spades,1935,cast,Geraldine Fitzgerald
Bitter Sweet (1940 film),1940,star,George Sanders
Bitter Sweet (1940 film),1940,director,W. S. Van Dyke
Asterix at the Olympic Games (film),2008,star,Gérard Depardieu
Sundown (1941 film),1941,star,Gene Tierney
Sundown (1941 film),1941,star,George Sanders
Sundown (1941 film),1941,cast,Dorothy Dandridge
Sundown (1941 film),1941,director,Henry Hathaway
A Few Good Men,1992,star,Tom Cruise
A Few Good Men,1992,star,Jack Nicholson
A Few Good Men,1992,cast,Cuba Gooding Jr.
Last Night (2010 film),2010,star,Keira Knightley
These Thousand Hills,1959,star,Lee Remick
These Thousand Hills,1959,star,Stuart Whitman
Great Catherine (film),1968,star,Peter O'Toole
Great Catherine (film),1968,cast,Akim Tamiroff
The First Gentleman,1948,cast,Hugh Griffith
Passing Shadows,1934,star,Edmund Gwenn
The Safecracker,1958,star,Ray Milland
The Safecracker,1958,star,Ray Milland
Silver Queen,1942,cast,Arthur Hunnicutt
"Take a Letter, Darling",1942,star,Rosalind Russell
"Take a Letter, Darling",1942,cast,Cecil Kellaway
Behind the Mask (1958 film),1958,star,Michael Redgrave
Behind the Mask (1958 film),1958,star,Vanessa Redgrave
Behind the Mask (1958 film),1958,cast,Ian Bannen
Miracle on 34th Street (1994 film),1994,star,Richard Attenborough
Miracle on 34th Street (1994 film),1994,cast,Allison Janney
Song of Summer,1968,director,Ken Russell
Flight for Freedom,1943,star,Rosalind Russell
Halloween II (2009 film),2009,star,Brad Dourif
Halloween II (2009 film),2009,cast,Octavia Spencer
The Pawnbroker (film),1964,star,Rod Steiger
The Pawnbroker (film),1964,star,Geraldine Fitzgerald
The Pawnbroker (film),1964,cast,Morgan Freeman
The Pawnbroker (film),1964,director,Sidney Lumet
Shorts (2009 film),2009,star,William H. Macy
Address Unknown (1944 film),1944,star,Paul Lukas
Christmas at Cadillac Jack's,2007,cast,Talia Shire
Paradise Grove,2003,star,Ron Moody
The Gaucho,1927,cast,Mary Pickford
Stiletto (2008 film),2008,star,Tom Berenger
Step Lively (1944 film),1944,star,Frank Sinatra
Step Lively (1944 film),1944,star,Adolphe Menjou
The Desert Song (1943 film),1943,cast,Gene Lockhart
Lady in the Dark (film),1944,star,Ginger Rogers
Lady in the Dark (film),1944,star,Ray Milland
Lady in the Dark (film),1944,cast,Warner Baxter
Lady in the Dark (film),1944,cast,Mischa Auer
When You're Strange,2009,cast,Johnny Depp
Crime and Punishment (1935 American film),1935,star,Gene Lockhart
The Red Danube,1949,star,Walter Pidgeon
The Red Danube,1949,star,Ethel Barrymore
The Red Danube,1949,star,Angela Lansbury
The Red Danube,1949,star,Janet Leigh
The Red Danube,1949,cast,Louis Calhern
A.K. (film),1985,star,Akira Kurosawa
Our Mother's House,1967,director,Jack Clayton
The Interns (film),1962,star,Cliff Robertson
The Interns (film),1962,cast,Telly Savalas
Very Annie Mary,2001,star,Rachel Griffiths
Very Annie Mary,2001,star,Jonathan Pryce
Three Guys Named Mike,1951,star,Jane Wyman
Three Guys Named Mike,1951,director,Charles Walters
Teenage Rebel,1956,star,Ginger Rogers
Teenage Rebel,1956,cast,Mildred Natwick
A Certain Smile (film),1958,star,Joan Fontaine
A Certain Smile (film),1958,director,Jean Negulesco
Showdown (1973 film),1973,star,Rock Hudson
Showdown (1973 film),1973,director,George Seaton
Gentlemen Broncos,2009,star,Sam Rockwell
Strictly Sinatra,2001,cast,Richard E. Grant
After the Ball (1932 film),1932,star,Basil Rathbone
After the Ball (1957 film),1957,star,Laurence Harvey
Summer and Smoke (film),1961,star,Laurence Harvey
Summer and Smoke (film),1961,star,Geraldine Page
Summer and Smoke (film),1961,cast,Rita Moreno
Summer and Smoke (film),1961,cast,Una Merkel
Summer and Smoke (film),1961,cast,Thomas Gomez
Summer and Smoke (film),1961,director,Peter Glenville
Period of Adjustment (film),1962,star,Anthony Franciosa
Period of Adjustment (film),1962,star,Jane Fonda
Period of Adjustment (film),1962,cast,Jack Albertson
Period of Adjustment (film),1962,director,George Roy Hill
Billy: The Early Years,2008,cast,Martin Landau
Come Blow Your Horn (film),1963,star,Frank Sinatra
Come Blow Your Horn (film),1963,cast,Lee J. Cobb
Strike Up the Band (film),1940,star,Mickey Rooney
Strike Up the Band (film),1940,star,Judy Garland
Man in the Middle (film),1964,star,Robert Mitchum
Man in the Middle (film),1964,cast,Trevor Howard
Man in the Middle (film),1964,cast,Alexander Knox
Happy Ever Afters,2009,star,Sally Hawkins
"Gaily, Gaily",1969,star,George Kennedy
"Gaily, Gaily",1969,star,Hume Cronyn
"Gaily, Gaily",1969,star,Melina Mercouri
"Gaily, Gaily",1969,director,Norman Jewison
Travels with My Aunt (film),1972,star,Maggie Smith
Travels with My Aunt (film),1972,director,George Cukor
Hour of the Star,1985,cast,Fernanda Montenegro
"For Love, Only for Love",1993,star,Penélope Cruz
The Greek Labyrinth,1993,star,Penélope Cruz
The Rebel (1993 film),1993,star,Penélope Cruz
Dead Space (film),1991,star,Bryan Cranston
Todo es mentira,1993,star,Penélope Cruz
Tarnished Lady,1931,director,George Cukor
Ice Palace (film),1960,star,Richard Burton
Ice Palace (film),1960,star,Robert Ryan
Ice Palace (film),1960,star,Carolyn Jones
Ice Palace (film),1960,star,Martha Hyer
Ice Palace (film),1960,cast,Shirley Knight
The Sunshine Boys (1975 film),1975,star,Walter Matthau
The Sunshine Boys (1975 film),1975,star,George Burns
The Sunshine Boys (1975 film),1975,cast,F. Murray Abraham
The Sunshine Boys (1975 film),1975,director,Herbert Ross
Cutlass (film),2007,star,Virginia Madsen
Cutlass (film),2007,director,Kate Hudson
The Incredible Sarah,1976,star,Glenda Jackson
V-Day: Until the Violence Stops,2003,cast,Jane Fonda
V-Day: Until the Violence Stops,2003,cast,Salma Hayek
V-Day: Until the Violence Stops,2003,cast,Rosie Perez
A Life of Her Own,1950,star,Lana Turner
A Life of Her Own,1950,star,Ray Milland
A Life of Her Own,1950,cast,Louis Calhern
A Life of Her Own,1950,cast,Jean Hagen
A Life of Her Own,1950,director,George Cukor
Six Weeks,1982,star,Dudley Moore
Six Weeks,1982,star,Mary Tyler Moore
Dear John (2010 film),2010,star,Richard Jenkins
Dear John (2010 film),2010,director,Lasse Hallström
So's Your Old Man,1926,director,Gregory La Cava
Paramount on Parade,1930,star,Jean Arthur
Paramount on Parade,1930,star,Nancy Carroll
Paramount on Parade,1930,star,Maurice Chevalier
Paramount on Parade,1930,star,Gary Cooper
Paramount on Parade,1930,star,Fredric March
Paramount on Parade,1930,star,Jack Oakie
Paramount on Parade,1930,star,William Powell
Parting Shots,1999,star,Bob Hoskins
Parting Shots,1999,star,Ben Kingsley
Everlasting Moments,2008,director,Jan Troell
All Through the Night (film),1942,star,Humphrey Bogart
All Through the Night (film),1942,cast,Jane Darwell
All Through the Night (film),1942,cast,Judith Anderson
All Through the Night (film),1942,cast,William Demarest
All Through the Night (film),1942,cast,Jackie Gleason
The Carpetbaggers (film),1964,star,Martha Hyer
The Carpetbaggers (film),1964,star,Lew Ayres
The Carpetbaggers (film),1964,star,Martin Balsam
The Carpetbaggers (film),1964,star,Carroll Baker
The Carpetbaggers (film),1964,cast,Tom Tully
The Carpetbaggers (film),1964,director,Edward Dmytryk
Hancock (film),2008,star,Will Smith
Hancock (film),2008,star,Charlize Theron
Peege,1973,star,Bruce Davison
Bombardier (film),1943,star,Eddie Albert
Bombardier (film),1943,cast,Robert Ryan
Rat (film),2000,star,Imelda Staunton
Rat (film),2000,star,Pete Postlethwaite
The Balcony (film),1963,star,Shelley Winters
The Balcony (film),1963,star,Peter Falk
The Balcony (film),1963,star,Ruby Dee
The Balcony (film),1963,star,Lee Grant
Her Cardboard Lover,1942,star,Norma Shearer
Her Cardboard Lover,1942,star,George Sanders
Her Cardboard Lover,1942,cast,Chill Wills
Her Cardboard Lover,1942,director,George Cukor
Mine Own Executioner,1947,star,Burgess Meredith
Paris 1900 (film),1947,cast,Monty Woolley
Eddie Macon's Run,1983,star,Kirk Douglas
Our Betters,1933,director,George Cukor
Lost in the Dark (1947 film),1947,star,Vittorio De Sica
The Late George Apley (film),1947,star,Ronald Colman
The Late George Apley (film),1947,cast,Mildred Natwick
The Late George Apley (film),1947,director,Joseph L. Mankiewicz
"Over the River...Life of Lydia Maria Child, Abolitionist for Freedom",2007,cast,Diahann Carroll
Women in Trouble,2009,cast,Josh Brolin
An Act of Murder,1948,star,Fredric March
An Act of Murder,1948,star,Edmond O'Brien
The Call of the Wild: Dog of the Yukon,1997,cast,Richard Dreyfuss
L'Amore (film),1948,star,Anna Magnani
L'Amore (film),1948,star,Federico Fellini
The Expendables (2010 film),2010,star,Sylvester Stallone
The Expendables (2010 film),2010,star,Eric Roberts
The Expendables (2010 film),2010,star,Mickey Rourke
The Expendables (2010 film),2010,star,Sylvester Stallone
The Killer Inside Me (2010 film),2010,star,Casey Affleck
The Killer Inside Me (2010 film),2010,star,Kate Hudson
The Killer Inside Me (2010 film),2010,cast,Ned Beatty
Galileo (1975 film),1975,star,John Gielgud
Galileo (1975 film),1975,star,Margaret Leighton
Galileo (1975 film),1975,cast,Tom Conti
This Happy Breed (film),1944,star,Celia Johnson
This Happy Breed (film),1944,star,Stanley Holloway
This Happy Breed (film),1944,star,John Mills
This Happy Breed (film),1944,director,David Lean
Fighting (2009 film),2009,star,Terrence Howard
Lies of Love,1949,director,Michelangelo Antonioni
Sibling Rivalry (film),1990,star,Sam Elliott
Diamonds on Wheels,1974,star,Peter Firth
Obsession (1949 film),1949,director,Edward Dmytryk
Scandal at Scourie,1953,star,Greer Garson
Scandal at Scourie,1953,star,Walter Pidgeon
Scandal at Scourie,1953,cast,Agnes Moorehead
Scandal at Scourie,1953,director,Jean Negulesco
The Indian Fighter,1955,star,Kirk Douglas
The Indian Fighter,1955,star,Walter Matthau
Fathom (film),1967,star,Anthony Franciosa
The Story on Page One (film),1959,star,Anthony Franciosa
The Story on Page One (film),1959,cast,Gig Young
The Story on Page One (film),1959,cast,Mildred Dunnock
The Story on Page One (film),1959,cast,Hugh Griffith
The Boondock Saints II: All Saints Day,2009,star,Peter Fonda
The Boondock Saints II: All Saints Day,2009,cast,Willem Dafoe
Tom Brown's Schooldays (1951 film),1951,cast,Diana Wynyard
Tom Brown's Schooldays (1951 film),1951,cast,Hermione Baddeley
Nightmare (1942 film),1942,star,Brian Donlevy
Caboblanco,1980,star,Jason Robards
Caboblanco,1980,director,J. Lee Thompson
Never Say Goodbye (1946 film),1946,star,Eleanor Parker
Never Say Goodbye (1946 film),1946,cast,Lucile Watson
Never Say Goodbye (1946 film),1946,cast,Hattie McDaniel
Off Limits (1953 film),1953,star,Mickey Rooney
Off Limits (1953 film),1953,cast,Carolyn Jones
Cosmopolitan (film),2003,star,Carol Kane
The Rainbow Thief,1994,star,Peter O'Toole
The Rainbow Thief,1994,star,Omar Sharif
8 (2008 film),2008,director,Gus Van Sant
8 (2008 film),2008,director,Jane Campion
The Road to Singapore,1931,star,William Powell
The Road to Singapore,1931,cast,Louis Calhern
La Belle Histoire,1992,director,Claude Lelouch
Precious (film),2009,star,Gabourey Sidibe
Precious (film),2009,star,Mo'Nique
Precious (film),2009,director,Lee Daniels
588 rue paradis,1992,star,Omar Sharif
There Goes My Baby (film),1994,cast,Seymour Cassel
There Goes My Baby (film),1994,cast,Anne Archer
Catch My Soul,1974,star,Susan Tyrrell
Casper (film),1995,star,Cathy Moriarty
Casper (film),1995,cast,Dan Aykroyd
Casper (film),1995,cast,Clint Eastwood
Casper (film),1995,cast,Mel Gibson
Casper (film),1995,cast,Steven Spielberg
Little Lord Fauntleroy (1921 film),1921,star,Mary Pickford
Little Boy Blue (film),1997,star,Shirley Knight
Bottoms Up (1934 film),1934,star,Spencer Tracy
Madagascar 3: Europe's Most Wanted,2012,star,Jessica Chastain
Madagascar 3: Europe's Most Wanted,2012,star,Bryan Cranston
Madagascar 3: Europe's Most Wanted,2012,star,Frances McDormand
Say Hello to Yesterday,1971,star,Jean Simmons
The Affairs of Susan,1945,star,Joan Fontaine
The Crimson Curtain (1953 film),1953,star,Anouk Aimée
Grumpy (1930 film),1930,star,Paul Lukas
Grumpy (1930 film),1930,director,George Cukor
Call Me Madam (film),1953,star,George Sanders
Call Me Madam (film),1953,cast,Lilia Skala
Call Me Madam (film),1953,director,Walter Lang
The Virtuous Sin,1930,star,Walter Huston
The Virtuous Sin,1930,director,George Cukor
Murder by Television,1935,cast,Hattie McDaniel
The Mystery of the Leaping Fish,1916,star,Bessie Love
Dick (film),1999,cast,Teri Garr
The Winning Season,2009,star,Sam Rockwell
The Winning Season,2009,star,Rooney Mara
Bundle of Joy,1956,star,Debbie Reynolds
Bundle of Joy,1956,star,Adolphe Menjou
Bundle of Joy,1956,cast,Una Merkel
Bundle of Joy,1956,director,Norman Taurog
British Agent,1934,star,William Gargan
British Agent,1934,director,Michael Curtiz
The Maids (film),1975,star,Glenda Jackson
The Maids (film),1975,star,Susannah York
The Maids (film),1975,star,Vivien Merchant
Cloudy with a Chance of Meatballs (film),2009,star,James Caan
Nana (1926 film),1926,director,Jean Renoir
The Duchess of Langeais,2007,cast,Barbet Schroeder
Mesmerized (film),1986,star,Jodie Foster
Mesmerized (film),1986,star,John Lithgow
The Sun Shines Bright,1953,cast,Jane Darwell
The Sun Shines Bright,1953,director,John Ford
Rockabye (1932 film),1932,cast,Paul Lukas
Rockabye (1932 film),1932,cast,Walter Pidgeon
Rockabye (1932 film),1932,director,George Cukor
The Far Horizons,1955,star,Charlton Heston
The Far Horizons,1955,star,Donna Reed
The Far Horizons,1955,cast,William Demarest
So Goes My Love,1946,star,Don Ameche
Neapolitan Carousel,1954,cast,Sophia Loren
Chronicle of Poor Lovers,1954,cast,Marcello Mastroianni
War Paint (1953 film),1953,star,Robert Stack
Flesh and the Woman,1954,cast,Lila Kedrova
Flesh and the Woman,1954,director,Robert Siodmak
The Vicious Circle (1957 film),1957,star,John Mills
Windfall in Athens,1954,director,Michael Cacoyannis
Tess of the Storm Country (1914 film),1914,star,Mary Pickford
I Can Do Bad All by Myself (film),2009,star,Taraji P. Henson
I Can Do Bad All by Myself (film),2009,star,Mary J. Blige
Hit List (1989 film),1989,star,Rip Torn
Kick-Ass (film),2010,star,Nicolas Cage
Kick-Ass (film),2010,cast,Elizabeth McGovern
Too Many Kisses,1925,cast,William Powell
Too Much Sun,1991,star,Robert Downey Jr.
The Hostage Tower,1980,star,Peter Fonda
The Hostage Tower,1980,cast,Celia Johnson
Big Bad Love,2001,star,Debra Winger
Shirley Valentine (film),1989,star,Pauline Collins
Shirley Valentine (film),1989,star,Tom Conti
All Is Possible in Granada (1954 film),1954,star,Merle Oberon
Back in the Day (2005 film),2005,cast,Frank Langella
Mandalay (film),1934,director,Michael Curtiz
Brewster's Millions (1945 film),1945,cast,Mischa Auer
Death Weekend,1976,star,Brenda Vaccaro
Taking Sides (film),2001,star,Harvey Keitel
Mozart (1955 film),1955,star,Oskar Werner
High Lonesome (film),1950,cast,Chill Wills
Sacco and Vanzetti (2006 film),2006,star,Henry Fonda
Glorious 39,2009,star,Julie Christie
Glorious 39,2009,star,Eddie Redmayne
A Kiss from Mary Pickford,1927,star,Mary Pickford
One Is a Lonely Number,1972,star,Janet Leigh
One Is a Lonely Number,1972,star,Melvyn Douglas
Gaby: A True Story,1987,star,Liv Ullmann
Gaby: A True Story,1987,star,Norma Aleandro
Gaby: A True Story,1987,star,Robert Loggia
The Linda McCartney Story,2000,cast,George Segal
Here Is Your Life,1966,director,Jan Troell
High Tide at Noon,1957,cast,Flora Robson
High Tide at Noon,1957,cast,Alexander Knox
Hamsun (film),1996,star,Max von Sydow
Hamsun (film),1996,director,Jan Troell
Bug Buster,1998,star,Randy Quaid
The Other Woman (2009 film),2009,star,Natalie Portman
The Final Test,1953,star,Robert Morley
America (2009 film),2009,star,Ruby Dee
Shadows in the Storm,1988,star,Ned Beatty
The Set-Up (1995 film),1995,star,James Coburn
The Set-Up (1995 film),1995,star,Margaret Avery
Caroline at Midnight,1994,star,Virginia Madsen
Manhattan Tower (film),1932,cast,Walter Brennan
Law Abiding Citizen,2009,star,Jamie Foxx
Law Abiding Citizen,2009,cast,Viola Davis
La Rosa di Bagdad,1949,star,Julie Andrews
A Little Bit of Heaven (1940 film),1940,cast,Robert Stack
A Little Bit of Heaven (1940 film),1940,cast,Stuart Erwin
Immediate Family (film),1989,star,Glenn Close
Immediate Family (film),1989,star,James Woods
Black Belly of the Tarantula,1971,star,Giancarlo Giannini
Miss Mary (1986 film),1986,star,Julie Christie
Big Fella,1937,cast,Margaret Rutherford
Native Land,1942,cast,John Marley
A Matter of Dignity,1958,director,Michael Cacoyannis
A Man of Straw,1958,star,Pietro Germi
A Man of Straw,1958,star,Pietro Germi
The Aryan,1916,star,Bessie Love
Middle of the Night,1959,star,Fredric March
Middle of the Night,1959,cast,Martin Balsam
Middle of the Night,1959,cast,Lee Grant
Middle of the Night,1959,director,Delbert Mann
Policarpo (film),1959,cast,Vittorio De Sica
Between Heaven and Hell (film),1956,star,Broderick Crawford
Talent for the Game,1991,star,Edward James Olmos
Talent for the Game,1991,star,Lorraine Bracco
Deaf Smith & Johnny Ears,1973,star,Anthony Quinn
The Switch (2010 film),2010,star,Juliette Lewis
Fools of Fortune,1990,star,Mary Elizabeth Mastrantonio
Fools of Fortune,1990,star,Julie Christie
From Time to Time (film),2009,star,Maggie Smith
From Time to Time (film),2009,cast,Pauline Collins
The Steel Bayonet,1957,star,Leo Genn
Lady Chatterley's Lover (1955 film),1955,star,Leo Genn
Trial by Jury (film),1994,star,William Hurt
Trial by Jury (film),1994,cast,Kathleen Quinlan
Trial by Jury (film),1994,cast,Stuart Whitman
The Return of the Scarlet Pimpernel,1937,star,James Mason
You're in the Army Now,1941,star,Jane Wyman
Lilly Turner,1933,star,Ruth Chatterton
Lilly Turner,1933,director,William A. Wellman
The Man Between,1953,star,James Mason
The Man Between,1953,director,Carol Reed
Midshipman Easy,1935,director,Carol Reed
Whiplash (1948 film),1948,star,Eve Arden
It Happened in Paris,1935,director,Carol Reed
Botany Bay (film),1953,star,James Mason
Botany Bay (film),1953,director,John Farrow
Bank Holiday (film),1938,director,Carol Reed
Laburnum Grove,1936,star,Edmund Gwenn
Laburnum Grove,1936,director,Carol Reed
Department Store (1935 film),1935,cast,Geraldine Fitzgerald
Everybody's Fine (1990 film),1990,star,Marcello Mastroianni
My Own Love Song,2010,star,Renée Zellweger
My Own Love Song,2010,star,Forest Whitaker
My Own Love Song,2010,star,Nick Nolte
Rebecca's Daughters,1992,star,Peter O'Toole
Cyclone (1987 film),1987,star,Martin Landau
The Wastrel,1961,cast,Van Heflin
The Wastrel,1961,director,Michael Cacoyannis
The Dust of Time,2008,star,Willem Dafoe
Winter Holidays,1959,cast,Vittorio De Sica
Adorable Julia,1962,star,Charles Boyer
Postcards from the Edge (film),1990,star,Meryl Streep
Postcards from the Edge (film),1990,star,Shirley MacLaine
Postcards from the Edge (film),1990,cast,Gene Hackman
Postcards from the Edge (film),1990,cast,Richard Dreyfuss
Postcards from the Edge (film),1990,cast,Annette Bening
Postcards from the Edge (film),1990,director,Mike Nichols
The Twilight Saga: Eclipse,2010,cast,Anna Kendrick
The Twilight Saga: Eclipse,2010,cast,Catalina Sandino Moreno
Doc (film),1971,star,Faye Dunaway
Doc (film),1971,director,Frank Perry
The Idol (1966 film),1966,star,Jennifer Jones
The Face at the Window (1932 film),1932,star,Raymond Massey
American Violet,2008,star,Michael O'Keefe
American Violet,2008,star,Alfre Woodard
The New Daughter,2009,star,Kevin Costner
"I Can't Give You Anything But Love, Baby (film)",1940,star,Broderick Crawford
Eagle's Wing,1980,star,Sam Waterston
Eagle's Wing,1980,star,Harvey Keitel
Eagle's Wing,1980,director,Anthony Harvey
Don't Drink the Water (1969 film),1969,star,Jackie Gleason
Don't Drink the Water (1969 film),1969,star,Estelle Parsons
Broadway Serenade,1939,cast,Lew Ayres
Broadway Serenade,1939,cast,Frank Morgan
Broadway Serenade,1939,cast,William Gargan
Broadway Serenade,1939,director,Robert Z. Leonard
Cairo (1942 film),1942,cast,Ethel Waters
Cairo (1942 film),1942,director,W. S. Van Dyke
Mr. Imperium,1951,star,Lana Turner
Mr. Imperium,1951,star,Marjorie Main
Mr. Imperium,1951,cast,Debbie Reynolds
Latin Lovers (1953 film),1953,star,Lana Turner
Latin Lovers (1953 film),1953,star,Louis Calhern
Latin Lovers (1953 film),1953,cast,Jean Hagen
Latin Lovers (1953 film),1953,cast,Beulah Bondi
Latin Lovers (1953 film),1953,cast,Rita Moreno
Latin Lovers (1953 film),1953,director,Mervyn LeRoy
The Lady Takes a Flyer,1958,star,Lana Turner
The Lady Takes a Flyer,1958,star,Jeff Chandler
Red Sands,2009,star,J.K. Simmons
Bachelor in Paradise (film),1961,star,Lana Turner
Bachelor in Paradise (film),1961,cast,Agnes Moorehead
Love Has Many Faces,1965,star,Lana Turner
Love Has Many Faces,1965,star,Cliff Robertson
Bittersweet Love,1976,star,Lana Turner
Bittersweet Love,1976,star,Celeste Holm
Witches' Brew (film),1980,star,Teri Garr
Witches' Brew (film),1980,star,Lana Turner
The Ghost Writer (film),2010,star,Tom Wilkinson
The Ghost Writer (film),2010,star,Timothy Hutton
The Ghost Writer (film),2010,director,Roman Polanski
Dive Bomber (film),1941,cast,Ralph Bellamy
Dive Bomber (film),1941,director,Michael Curtiz
White Voices,1964,cast,Anouk Aimée
The Rage of Paris,1938,star,Mischa Auer
The Rage of Paris,1938,director,Henry Koster
Destination Anywhere (film),1997,star,Whoopi Goldberg
Innocents in Paris,1953,star,Margaret Rutherford
Innocents in Paris,1953,cast,Laurence Harvey
A Killer Walks,1952,star,Laurence Harvey
The Truth About Women,1957,star,Laurence Harvey
The Truth About Women,1957,star,Diane Cilento
Three Men in a Boat (1956 film),1956,star,Laurence Harvey
The Debt (2010 film),2010,star,Helen Mirren
The Debt (2010 film),2010,star,Jessica Chastain
The Debt (2010 film),2010,star,Tom Wilkinson
Just a Kiss (film),2002,star,Marisa Tomei
Persecution (film),1974,star,Lana Turner
Persecution (film),1974,star,Trevor Howard
Flesh and Blood (1922 film),1922,director,Irving Cummings
Casbah (film),1948,cast,Thomas Gomez
Her Twelve Men,1954,cast,Greer Garson
Her Twelve Men,1954,cast,Robert Ryan
Her Twelve Men,1954,director,Robert Z. Leonard
Two Weeks with Love,1950,star,Louis Calhern
Two Weeks with Love,1950,star,Ann Harding
Two Weeks with Love,1950,star,Debbie Reynolds
Mass Appeal (film),1984,star,Jack Lemmon
Mass Appeal (film),1984,cast,Charles Durning
Nowhere Boy,2009,star,Kristin Scott Thomas
